Start Date,End Date,Currency,Total Amount,My Amount,Title,Funding Agency,Role
2026-01-01,2034-12-31,NOK,100000000,4653527,"Norwegian Maritime AI Centre",RCN,"Key Personnel"
2025-11-1,2028-10-31,USD,475953,285781,"Optimal Networks for the Control of Autonomous UAV Systems",AFOSR,"PI"
2025-11-1,2028-10-31,NOK,7361000,7361000,"Multi-agent modeling of sector-coupled district heating grids (declined)","RCN (360462)","co-PI"
2025-03-1,2025-12-31,NOK,100000,100000,"Graph-based models for control of decentralised PV Systems","UiO:Energi","PI"
2025-03-1,2028-03-30,NOK,6690000,6690000,"Applications of AI and machine learning in critical maritime automation and control systems","RCN N\ae ringsPhD (354210)","Co-PI"
2025-01-01,2032-12-31,NOK,300000000,4601000,"FME Solar","RCN (350244)","Key Personnel"
2025-01-01,2029-12-31,EUR,3800000,393216,"ATLAST2: Consolidating plans for the Atacama Large Aperture Submillimeter Telescope","HorizonEU (SEP-211011699)","Key Personnel"
2023-10-01,2028-12-31,NOK,124124032,12152000,SFI: Centre for Space Sensors and Systems, RCN (309835), WP2 Leader
2017-06-01,2019-06-01,CAD,42000,42000,"Control of Dynamics on State-Dependent Networks", NSERC (CGSD2-502554-2017), PI

